Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4195706250,https://www.linkedin.com/jobs/view/4195706250,Previous resume,Unknown,2025-04-19 09:43:46.744330,Problem in Easy Applying,Job application discarded by user!,Easy Applied,Not Available
4182909943,https://www.linkedin.com/jobs/view/4182909943,Previous resume,Unknown,2025-04-19 09:44:21.867879,Problem in Easy Applying,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************rgMA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Easy Applied,Not Available
4211477246,https://www.linkedin.com/jobs/view/4211477246,Previous resume,Unknown,2025-04-19 09:52:08.473404,Problem in Easy Applying,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************rgMA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",Easy Applied,Not Available
4182909943,https://www.linkedin.com/jobs/view/4182909943,Pending,Unknown,2025-04-19 09:55:42.105852,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4179435087,https://www.linkedin.com/jobs/view/4179435087,Pending,Unknown,2025-04-19 10:56:41.925731,,,Skipped,Not Available
4206850839,https://www.linkedin.com/jobs/view/4206850839,Pending,Unknown,2025-04-19 10:56:48.081917,,,Skipped,Not Available
4181286209,https://www.linkedin.com/jobs/view/4181286209,Pending,Unknown,2025-04-19 10:56:52.146576,,,Skipped,Not Available
4206541698,https://www.linkedin.com/jobs/view/4206541698,Pending,Unknown,2025-04-19 10:56:56.105119,,,Skipped,Not Available
4183303106,https://www.linkedin.com/jobs/view/4183303106,Pending,Unknown,2025-04-19 10:57:00.273296,,,Skipped,Not Available
4083240625,https://www.linkedin.com/jobs/view/4083240625,Pending,Unknown,2025-04-19 10:57:06.351003,,,Skipped,Not Available
4206541698,https://www.linkedin.com/jobs/view/4206541698,Pending,Unknown,2025-04-19 10:59:12.764416,,,Skipped,Not Available
4083240625,https://www.linkedin.com/jobs/view/4083240625,Pending,Unknown,2025-04-19 10:59:18.734625,,,Skipped,Not Available
4183303106,https://www.linkedin.com/jobs/view/4183303106,Pending,Unknown,2025-04-19 10:59:23.083517,,,Skipped,Not Available
4205097161,https://www.linkedin.com/jobs/view/4205097161,Pending,Unknown,2025-04-19 10:59:27.407616,,,Skipped,Not Available
4191580528,https://www.linkedin.com/jobs/view/4191580528,Pending,Unknown,2025-04-19 10:59:31.725868,,,Skipped,Not Available
4191448950,https://www.linkedin.com/jobs/view/4191448950,Pending,Unknown,2025-04-19 10:59:36.156999,,,Skipped,Not Available
4206541698,https://www.linkedin.com/jobs/view/4206541698,Pending,Unknown,2025-04-19 11:08:26.524832,,,Skipped,Not Available
4183303106,https://www.linkedin.com/jobs/view/4183303106,Pending,Unknown,2025-04-19 11:08:38.347877,,,Skipped,Not Available
4083240625,https://www.linkedin.com/jobs/view/4083240625,Pending,Unknown,2025-04-19 11:08:51.419272,,,Skipped,Not Available
4206541698,https://www.linkedin.com/jobs/view/4206541698,Pending,Unknown,2025-04-19 11:10:17.191262,,,Skipped,Not Available
4206541698,https://www.linkedin.com/jobs/view/4206541698,Previous resume,Unknown,2025-04-19 11:12:25.564815,Problem in Easy Applying,name 'ai_exp' is not defined,Easy Applied,Not Available
4190160238,https://www.linkedin.com/jobs/view/4190160238,Pending,Unknown,2025-04-19 11:55:06.662092,,,Skipped,Not Available
3774716377,https://www.linkedin.com/jobs/view/3774716377,Pending,Unknown,2025-04-19 11:55:20.972317,,,Skipped,Not Available
4210885605,https://www.linkedin.com/jobs/view/4210885605,Pending,Unknown,2025-04-19 11:55:32.964105,,,Skipped,Not Available
4181208811,https://www.linkedin.com/jobs/view/4181208811,Pending,Unknown,2025-04-19 11:55:41.795641,,,Skipped,Not Available
4166700413,https://www.linkedin.com/jobs/view/4166700413,Pending,Unknown,2025-04-19 11:55:59.256410,,,Skipped,Not Available
4209411621,https://www.linkedin.com/jobs/view/4209411621,Pending,Unknown,2025-04-21 10:19:22.076118,,,Skipped,Not Available
4208075657,https://www.linkedin.com/jobs/view/4208075657,Pending,Unknown,2025-04-21 10:19:33.471768,,,Skipped,Not Available
4206569886,https://www.linkedin.com/jobs/view/4206569886,Pending,Unknown,2025-04-21 10:19:47.370236,,,Skipped,Not Available
4210169476,https://www.linkedin.com/jobs/view/4210169476,Pending,Unknown,2025-04-21 10:33:50.354833,,,Skipped,Not Available
4190160238,https://www.linkedin.com/jobs/view/4190160238,Pending,Unknown,2025-04-21 10:34:06.396218,,,Skipped,Not Available
4209743512,https://www.linkedin.com/jobs/view/4209743512,Pending,Unknown,2025-04-21 10:46:19.597981,,,Skipped,Not Available
4190160238,https://www.linkedin.com/jobs/view/4190160238,Pending,Unknown,2025-04-21 10:46:34.106063,,,Skipped,Not Available
4210169476,https://www.linkedin.com/jobs/view/4210169476,Pending,Unknown,2025-04-21 10:46:53.728536,,,Skipped,Not Available
4189736015,https://www.linkedin.com/jobs/view/4189736015,Pending,Unknown,2025-04-21 10:47:13.024764,,,Skipped,Not Available
4209743512,https://www.linkedin.com/jobs/view/4209743512,Pending,Unknown,2025-04-21 10:48:09.765801,,,Skipped,Not Available
4190160238,https://www.linkedin.com/jobs/view/4190160238,Pending,Unknown,2025-04-21 10:48:15.131066,,,Skipped,Not Available
4209743512,https://www.linkedin.com/jobs/view/4209743512,Pending,Unknown,2025-04-21 10:57:55.245274,,,Skipped,Not Available
4190160238,https://www.linkedin.com/jobs/view/4190160238,Pending,Unknown,2025-04-21 10:58:00.677136,,,Skipped,Not Available
4210169476,https://www.linkedin.com/jobs/view/4210169476,Pending,Unknown,2025-04-21 10:58:10.959819,,,Skipped,Not Available
3774716377,https://www.linkedin.com/jobs/view/3774716377,Pending,Unknown,2025-04-21 10:58:19.146437,,,Skipped,Not Available
4190977496,https://www.linkedin.com/jobs/view/4190977496,Pending,Unknown,2025-04-21 10:58:24.503358,,,Skipped,Not Available
4208075657,https://www.linkedin.com/jobs/view/4208075657,Pending,Unknown,2025-04-21 10:59:02.235319,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4186771029,https://www.linkedin.com/jobs/view/4186771029,Pending,Unknown,2025-04-21 11:09:49.203898,,,Skipped,Not Available
4205971602,https://www.linkedin.com/jobs/view/4205971602,Pending,Unknown,2025-04-21 11:10:03.977100,,,Skipped,Not Available
4214064707,https://www.linkedin.com/jobs/view/4214064707,Pending,Unknown,2025-04-21 11:10:19.138402,,,Skipped,Not Available
4206009205,https://www.linkedin.com/jobs/view/4206009205,Pending,Unknown,2025-04-21 11:10:38.500131,,,Skipped,Not Available
4214060828,https://www.linkedin.com/jobs/view/4214060828,Pending,Unknown,2025-04-21 11:10:53.166587,,,Skipped,Not Available
4209119754,https://www.linkedin.com/jobs/view/4209119754,Pending,Unknown,2025-04-21 11:11:06.360020,,,Skipped,Not Available
4186771029,https://www.linkedin.com/jobs/view/4186771029,Pending,Unknown,2025-04-21 11:14:41.649618,,,Skipped,Not Available
4205971602,https://www.linkedin.com/jobs/view/4205971602,Pending,Unknown,2025-04-21 11:14:55.665424,,,Skipped,Not Available
4186771029,https://www.linkedin.com/jobs/view/4186771029,Pending,Unknown,2025-04-21 11:19:19.056307,,,Skipped,Not Available
4205971602,https://www.linkedin.com/jobs/view/4205971602,Pending,Unknown,2025-04-21 11:19:36.016507,,,Skipped,Not Available
